id,citation_id
10.1145/3531146.3533083,10.1145/3593013.3593996
10.1145/3531146.3533083,10.1145/3593013.3593981
10.1145/3531146.3533083,10.1007/s43681-022-00188-y
10.1145/3531146.3533083,10.1002/asi.24743
10.1145/3531146.3533083,10.1145/3544549.3585680
10.1145/3531146.3533083,10.1145/3544548.3581308
10.1145/3531146.3533083,10.1145/3544548.3581010
10.1145/3531146.3533083,10.1145/3544548.3580903
10.1145/3531146.3533083,10.3390/medicina59040790
10.1145/3531146.3533083,10.1111/bjet.13319
10.1145/3531146.3533083,10.1145/3576840.3578309
10.1145/3531146.3533083,10.1109/SaTML54575.2023.00049
10.1145/3531146.3533083,10.1109/SaTML54575.2023.00039
10.1145/3531146.3533083,10.1007/s00146-021-01284-z
10.1145/3531146.3533083,10.1177/20539517231171053
10.1145/3531146.3533083,10.1007/978-3-031-23618-1_3
10.1145/3531146.3533083,10.1007/978-3-031-19149-7_10
10.1145/3531146.3533083,10.1007/s43681-022-00141-z
10.1145/3531146.3533083,10.1007/s43681-021-00122-8
10.1145/3531146.3533083,10.1007/s00146-022-01572-2
10.1145/3531146.3533083,10.1145/3531146.3534637
10.1145/3531146.3533083,10.1145/3531146.3533241
10.1145/3531146.3533083,10.1145/3531146.3533234
10.1145/3531146.3533083,10.1145/3531146.3533233
10.1145/3531146.3533083,10.1145/3531146.3533216
10.1145/3531146.3533083,10.1145/3531146.3533149
10.1145/3531146.3533083,10.1145/3531146.3533122
10.1145/3531146.3533083,10.1145/3531146.3533097
10.1145/3531146.3533083,10.1145/3531146.3533095
10.1145/3531146.3533083,10.1145/3532106.3533483
10.1145/3531146.3533083,10.1080/15265161.2021.2013977
10.1145/3531146.3533083,10.1016/j.procs.2022.08.063
10.1145/3531146.3533085,10.1007/978-3-031-15714-1_20
10.1145/3531146.3533085,10.1111/ijet.12382
10.1145/3531146.3533086,10.1007/978-3-031-49008-8_7
10.1145/3531146.3533086,10.1145/3544548.3580922
10.1145/3531146.3533087,10.5555/3625834.3625963
