n
"McLaughlin, Bryce"
"Spiess, Jann"
"Gillis, Talia"
"Bordt, Sebastian"
"Finck, Mich\`{e}le"
"Raidl, Eric"
"von Luxburg, Ulrike"
"Chien, Isabel"
"Deliu, Nina"
"Turner, Richard"
"Weller, Adrian"
"Villar, Sofia"
"Kilbertus, Niki"
"Hong, Sun-ha"
"Sloane, Mona"
"Zakrzewski, Janina"
"Ruane, Elayne"
"Laurent, Thomas"
"S. Brown, Matthew"
"Flowers, Johnathan"
"Ventresque, Anthony"
"L. Dancy, Christopher"
"Raji, Inioluwa Deborah"
"Kumar, I. Elizabeth"
"Selbst, Andrew"
"Pahl, Jaspar"
"Rieger, Ines"
"M\""{o}ller, Anna"
"Wittenberg, Thomas"
"Schmid, Ute"
"Lohia, Pranay"
"Pimplikar, Rakesh"
"Hosoi, A.E."
"Lu, Christina"
"Kay, Jackie"
"McKee, Kevin"
"M\""{o}kander, Jakob"
"Sheth, Margi"
"Watson, David"
"Floridi, Luciano"
"Yew, Rui-Jie"
"Xiang, Alice"
"Du, Yuhao"
"Ionescu, Stefania"
"Sage, Melanie"
"Joseph, Kenneth"
"Pfohl, Stephen"
"Xu, Yizhe"
"Foryciarz, Agata"
"Ignatiadis, Nikolaos"
"Genkins, Julian"
"Shah, Nigam"
"Mishler, Alan"
"Kennedy, Edward H."
"Albini, Emanuele"
"Long, Jason"
"Dervovic, Danial"
"Magazzeni, Daniele"
"Buyl, Maarten"
"Cociancig, Christina"
"Frattone, Cristina"
"Roekens, Nele"
"Mashiat, Tasfia"
"Gitiaux, Xavier"
"Rangwala, Huzefa"
"Fowler, Patrick"
"Das, Sanmay"
"Globus-Harris, Ira"
"Kearns, Michael"
"Lin, Jerry"
"Chen, Carolyn"
"Chmielewski, Marc"
"Zaman, Samia"
"Fain, Brandon"
"Lucchesi, Lydia R."
"Kuhnert, Petra M."
"Davis, Jenny L."
"Xie, Lexing"
"Botes, Marietjie Wilhelmina Maria"
"Stapleton, Logan"
"Lee, Min Hun"
"Qing, Diana"
"Wright, Marya"
"Chouldechova, Alexandra"
"Holstein, Ken"
"Blum, Avrim"
"Stangl, Kevin"
"Balagopalan, Aparna"
"Zhang, Haoran"
"Hamidieh, Kimia"
"Hartvigsen, Thomas"
"Rudzicz, Frank"
"Ghassemi, Marzyeh"
"Diana, Emily"
"Gill, Wesley"
"Kenthapadi, Krishnaram"
"Sharifi-Malvajerdi, Saeed"
"Rahmattalabi, Aida"
"Vayanos, Phebe"
"Dullerud, Kathryn"
"Rice, Eric"
"Liao, Q.Vera"
"Sundar, S. Shyam"
"Wolfe, Robert"
"Caliskan, Aylin"
"Hirota, Yusuke"
"Nakashima, Yuta"
"Garcia, Noa"
"Banaji, Mahzarin R."
"Ehsan, Upol"
"Singh, Ranjit"
"Metcalf, Jacob"
"Riedl, Mark"
"Wang, Yongjie"
"Qian, Hangwei"
"Miao, Chunyan"
"Shang, Ruoxi"
"Feng, K. J. Kevin"
"Shah, Chirag"
"Goanta, Catalina"
"Bertaglia, Thales"
"Iamnitchi, Adriana"
"Schramowski, Patrick"
"Tauchmann, Christopher"
"Fogliato, Riccardo"
"Chappidi, Shreya"
"Lungren, Matthew"
"Fisher, Paul"
"Wilson, Diane"
"Fitzke, Michael"
"Parkinson, Mark"
"Horvitz, Eric"
"Inkpen, Kori"
"Nushi, Besmira"
"Young, Meg"
"Katell, Michael"
"Krafft, P.M."
"Thornton, Lauren"
"Knowles, Bran"
"Blair, Gordon"
"Buet-Golfouse, Francois"
"Utyagulov, Islam"
"Susser, Daniel"
"Rateike, Miriam"
"Majumdar, Ayan"
"Mineeva, Olga"
"Gummadi, Krishna P."
"Valera, Isabel"
"Png, Marie-Therese"
"Poirier, Lindsay"
"Ferrario, Andrea"
"Loi, Michele"
"Cai, William"
"Encarnacion, Ro"
"Chern, Bobbie"
"Corbett-Davies, Sam"
"Bogen, Miranda"
"Bergman, Stevie"
"Goel, Sharad"
"Elzayn, Hadi"
"Goldin, Jacob"
"Ho, Daniel"
"Neumann, Terrence"
"De-Arteaga, Maria"
"Fazelpour, Sina"
"Fishman, Nic"
"Hancox-Li, Leif"
"Klumbytundefined, Goda"
"Draude, Claude"
"Taylor, Alex S."
"Agarwal, Sushant"
"Deshpande, Amit"
"Almuzaini, Abdulaziz A."
"Bhatt, Chidansh A."
"Pennock, David M."
"Singh, Vivek K."
"Irion, Kristina"
"Costanza-Chock, Sasha"
"Buolamwini, Joy"
"Dobbe, Roel"
"Sachdeva, Pratik S."
"Barreto, Renata"
"von Vacano, Claudia"
"Kennedy, Chris J."
"Kambhatla, Gauri"
"Stewart, Ian"
"Mihalcea, Rada"
"Schoeffer, Jakob"
"Kuehl, Niklas"
"Machowski, Yvette"
"Brubach, Brian"
"Ballarin, Audrey"
"Nazeer, Heeba"
"Donahue, Kate"
"Zhang, Shikun"
"Shvartzshnaider, Yan"
"Feng, Yuanyuan"
"Sadeh, Norman"
"Johnson, Rebecca Ann"
"Zhang, Simone"
"Barberan, Cj"
"Alemmohammad, Sina"
"Liu, Naiming"
"Balestriero, Randall"
"Baraniuk, Richard"
"Wu, Ziwei"
"He, Jingrui"
"Andrus, McKane"
"Villeneuve, Sarah"
"Matias, Nathan"
"Pennington, Eric"
"Chan, Zenobia"
"Abebe, Rediet"
"Jin, Angela"
"Miller, John"
"Schmidt, Ludwig"
"Wexler, Rebecca"
"Ganguli, Deep"
"Hernandez, Danny"
"Lovitt, Liane"
"Askell, Amanda"
"Bai, Yuntao"
"Chen, Anna"
"Conerly, Tom"
"Dassarma, Nova"
"Drain, Dawn"
"Elhage, Nelson"
"El Showk, Sheer"
"Fort, Stanislav"
"Hatfield-Dodds, Zac"
"Henighan, Tom"
"Johnston, Scott"
"Jones, Andy"
"Joseph, Nicholas"
"Kernian, Jackson"
"Kravec, Shauna"
"Mann, Ben"
"Nanda, Neel"
"Ndousse, Kamal"
"Olsson, Catherine"
"Amodei, Daniela"
"Brown, Tom"
"Kaplan, Jared"
"McCandlish, Sam"
"Olah, Christopher"
