v,w,weight
"Amodei, Daniela","Hernandez, Danny",1
"Amodei, Daniela","Johnston, Scott",1
"Amodei, Daniela","Jones, Andy",1
"Amodei, Daniela","Joseph, Nicholas",1
"Amodei, Daniela","Kaplan, Jared",1
"Amodei, Daniela","Kernian, Jackson",1
"Amodei, Daniela","Kravec, Shauna",1
"Amodei, Daniela","Lovitt, Liane",1
"Amodei, Daniela","Mann, Ben",1
"Amodei, Daniela","McCandlish, Sam",1
"Amodei, Daniela","Nanda, Neel",1
"Amodei, Daniela","Ndousse, Kamal",1
"Amodei, Daniela","Olah, Christopher",1
"Amodei, Daniela","Olsson, Catherine",1
"Amodei, Dario","Askell, Amanda",1
"Amodei, Dario","Bai, Yuntao",1
"Amodei, Dario","Brown, Tom",1
"Amodei, Dario","Chen, Anna",1
"Amodei, Dario","Clark, Jack",1
"Amodei, Dario","Conerly, Tom",1
"Amodei, Dario","Dassarma, Nova",1
"Amodei, Dario","Drain, Dawn",1
"Amodei, Dario","El Showk, Sheer",1
"Amodei, Dario","Elhage, Nelson",1
"Amodei, Dario","Fort, Stanislav",1
"Amodei, Dario","Ganguli, Deep",1
"Amodei, Dario","Hatfield-Dodds, Zac",1
"Amodei, Dario","Henighan, Tom",1
"Amodei, Dario","Hernandez, Danny",1
"Amodei, Dario","Johnston, Scott",1
"Amodei, Dario","Jones, Andy",1
"Amodei, Dario","Joseph, Nicholas",1
"Amodei, Dario","Kaplan, Jared",1
"Amodei, Dario","Kernian, Jackson",1
"Amodei, Dario","Kravec, Shauna",1
"Amodei, Dario","Lovitt, Liane",1
"Amodei, Dario","Mann, Ben",1
"Amodei, Dario","McCandlish, Sam",1
"Amodei, Dario","Nanda, Neel",1
"Amodei, Dario","Ndousse, Kamal",1
"Amodei, Dario","Olah, Christopher",1
"Amodei, Dario","Olsson, Catherine",1
"Anand, Avishek","Singh, Jaspreet",1
"Ananny, Mike","Corry, Frances",1
"Ananny, Mike","Crawford, Kate",1
"Ananny, Mike","Luccioni, Alexandra Sasha",1
"Ananny, Mike","Schultz, Jason",1
"Ananny, Mike","Sridharan, Hamsini",1
"Anderson, Brandon R.","Benami, Elinor",1
"Anderson, Brandon R.","Ho, Daniel E.",1
"Anderson, Brandon R.","La, Vincent",1
