v,w,weight
"Albarghouthi, Aws","Vinitsky, Samuel",1
"Babaei, Mahmoudreza","Benevenuto, Fabricio",1
"Babaei, Mahmoudreza","Cha, Meeyoung",1
"Babaei, Mahmoudreza","Chakraborty, Abhijnan",1
"Babaei, Mahmoudreza","Goga, Oana",1
"Babaei, Mahmoudreza","Gummadi, Krishna P.",2
"Babaei, Mahmoudreza","Henrique, Lucas",1
"Babaei, Mahmoudreza","Kulshrestha, Juhi",1
"Babaei, Mahmoudreza","Messias, Johnnatan",1
"Babaei, Mahmoudreza","Redmiles, Elissa M.",2
"Babaei, Mahmoudreza","Ribeiro, Filipe N.",1
"Babaei, Mahmoudreza","Saha, Koustuv",1
"Babaioff, Moshe","Nisan, Noam",1
"Babaioff, Moshe","Talgam-Cohen, Inbal",1
"Barnes, Parker","Gebru, Timnit",1
"Barnes, Parker","Hutchinson, Ben",1
"Barnes, Parker","Mitchell, Margaret",1
"Barnes, Parker","Raji, Inioluwa Deborah",1
"Barnes, Parker","Spitzer, Elena",1
"Barnes, Parker","Vasserman, Lucy",1
"Barnes, Parker","Wu, Simone",1
"Barnes, Parker","Zaldivar, Andrew",1
"Barocas, Solon","Passi, Samir",1
"Benevenuto, Fabricio","Goga, Oana",1
"Benevenuto, Fabricio","Gummadi, Krishna P.",1
"Benevenuto, Fabricio","Henrique, Lucas",1
"Benevenuto, Fabricio","Messias, Johnnatan",1
"Benevenuto, Fabricio","Redmiles, Elissa M.",1
"Benevenuto, Fabricio","Ribeiro, Filipe N.",1
"Benevenuto, Fabricio","Saha, Koustuv",1
"Benthall, Sebastian","Haynes, Bruce D.",1
"Birnbaum, Michael L.","Caine, Eric D.",1
"Birnbaum, Michael L.","Chancellor, Stevie",1
"Birnbaum, Michael L.","De Choudhury, Munmun",1
"Birnbaum, Michael L.","Silenzio, Vincent M. B.",1
"Borgs, Christian","Chayes, Jennifer",1
"Borgs, Christian","Chouldechova, Alexandra",1
"Borgs, Christian","De-Arteaga, Maria",1
"Borgs, Christian","Geyik, Sahin",1
"Borgs, Christian","Kalai, Adam Tauman",1
"Borgs, Christian","Kenthapadi, Krishnaram",1
"Borgs, Christian","Romanov, Alexey",1
"Borgs, Christian","Wallach, Hanna",1
"Bountouridis, Dimitrios","Harambam, Jaron",1
